name,category,nicotine_type,nicotine_min,nicotine_max,size_min,size_max,flavour,flavours_all_approved,flavours_count,disposable_keyword
ijoy-captain-airgo-replacement-pod,Vape Devices,,,,,,,,,FALSE
ijoy-captain-link-l-replacement-coils,Vape Devices,,,,,,,,,FALSE
ijoy-captain-link-pod-tank-replacement-pod,Vape Devices,,,,,,,,,FALSE
uwell-caliburn-g2-18w-pod-kit,Vape Devices,,,,,,,,,FALSE
tote-aoturoa-berry-peach-orange-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Berry, Peach, Orange, hint of ice",FALSE,4,FALSE
tote-aoturoa-berry-peach-orange-freebase-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Berry, Peach, Orange, hint of ice",FALSE,4,FALSE
tote-aoturoa-blueberry-raspberry-grape-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Blueberry, Raspberry, Grape, hint of ice",FALSE,4,FALSE
tote-aoturoa-choco-chestnut-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Chocolate, Chestnut, hint of ice",FALSE,3,FALSE
tote-aoturoa-choco-chestnut-freebase-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Chocolate, Chestnut, hint of ice",FALSE,3,FALSE
cranberry-mint-nicotine-salt-e-liquid,E-Liquids,Nicotine Concentration,11.4,22.8,30,30,"Cranberry, Mint",FALSE,2,FALSE
tote-aoturoa-cranberry-mint-freebase-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Cranberry, Mint",FALSE,2,FALSE
tote-aoturoa-grape-mango-orange-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,11.4,22.8,30,30,"Grape, Mango, Citrus, hint of ice",FALSE,4,FALSE
tote-aoturoa-grape-mango-orange-freebase-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Grape, Mango, Citrus, hint of ice",FALSE,4,FALSE
lychee-banana-grape-nicotine-salt-e-liquid,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Lychee, Banana, Grape, hint of ice",FALSE,4,FALSE
tote-aoturoa-lychee-banana-grape-freebase-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Lychee, Banana, Grape, hint of ice",FALSE,4,FALSE
tote-aoturoa-lychee-watermelon-mango-peach-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Lychee, Watermelon, Mango, Peach, hint of ice",FALSE,5,FALSE
tote-aoturoa-lychee-watermelon-mango-peach-freebase-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Lychee, Watermelon, Mango, Peach, hint of ice",FALSE,5,FALSE
mint-melon-soda-nicotine-salt-e-liquid,E-Liquids,Nicotine Concentration,11.4,22.8,30,30,"Mint, Melon, Soda",FALSE,3,FALSE
tote-aoturoa-mint-melon-soda-freebase-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Mint, Melon, Soda",FALSE,3,FALSE
tote-aoturoa-peach-kiwi-soda-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Peach, Kiwi, Soda, hint of ice",FALSE,4,FALSE
tote-aoturoa-peach-kiwi-soda-freebase-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Peach, Kiwi, Soda, hint of ice",FALSE,4,FALSE
tote-aoturoa-green-grape-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Green Grape, hint of ice",FALSE,2,FALSE
